127.0.0.1 - - [29/May/2020:12:28:47 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:48 +0900] "GET /Project/ HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:48 +0900] "GET /Project/semi.Project?page=index&subcode=0 HTTP/1.1" 200 6228
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:48 +0900] "GET /Project/css/styles.css HTTP/1.1" 200 189310
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:48 +0900] "GET /Project/js/scripts.js HTTP/1.1" 200 1853
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:48 +0900] "GET /Project/js/text.js HTTP/1.1" 200 14463
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:48 +0900] "GET /Project/assets/img/bg-signup.jpg HTTP/1.1" 200 535218
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:48 +0900] "GET /Project/assets/img/copyright.jpg HTTP/1.1" 200 27300
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:48 +0900] "GET /Project/assets/img/main.jpg HTTP/1.1" 200 415176
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:51 +0900] "GET /Project/hyundoo.Project?page=commercial&subcode=0 HTTP/1.1" 200 21385
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:51 +0900] "GET /Project/css/modal.css?after HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:51 +0900] "GET /Project/css/sidebar.css?after HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:51 +0900] "GET /Project/js/json2.js HTTP/1.1" 200 18876
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:51 +0900] "GET /Project/img/building1.jpg HTTP/1.1" 200 62376
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:52 +0900] "GET /Project/js/seoul_municipalities_geo.json HTTP/1.1" 200 1133982
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:53 +0900] "GET /Project/hyundoo.Project?page=commercial&subcode=3 HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [29/May/2020:12:28:53 +0900] "GET /Project/hyundoo.Project?page=commercial&subcode=1 HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [29/May/2020:12:29:16 +0900] "GET /Project/semi.Project?page=commercial&subcode=97 HTTP/1.1" 200 22418
